source,code,player,date,event,level,round,opponent,score,points,file,row_id,in_dump_export,ref_id,ref_level,ref_event,link,duplicate_of_other_copy
pbp_copy_2018,CH12,Jan Choinski,2015-10-02,ITFTour-FranceF20,ITF main draw,,Lucas Catarina,6-2 6-0,103,pbp_matches_fu_main_archive.csv,8265371,,CH12:atp:2015/4085/ms006:CN78,ITF main draw,France F20,linked,False
pbp_copy_2018,CH12,Jan Choinski,2015-10-03,ITFTour-FranceF20,ITF main draw,,Hugo Grenier,6-2 6-3,116,pbp_matches_fu_main_archive.csv,8270260,,CH12:atp:2015/4085/ms003:GF95,ITF main draw,France F20,linked,False
pbp_copy_2018,CH12,Jan Choinski,2015-10-07,ITFTour-GermanyF15,ITF main draw,,Tim Sandkaulen,6-3 6-2,90,pbp_matches_fu_main_archive.csv,8288530,,CH12:atp:2015/2139/ms023:SU13,ITF main draw,Germany F15,linked,False
pbp_copy_2018,CH12,Jan Choinski,2015-10-08,ITFTour-GermanyF15,ITF main draw,,Johannes Haerteis,6-7(4) 6-1 6-2,186,pbp_matches_fu_main_archive.csv,8293275,,CH12:atp:2015/2139/ms011:HB31,ITF main draw,Germany F15,linked,False
pbp_copy_2018,CH12,Jan Choinski,2015-10-09,ITFTour-GermanyF15,ITF main draw,,Teri Groll,6-4 6-4,128,pbp_matches_fu_main_archive.csv,8298321,,CH12:atp:2015/2139/ms005:GC03,ITF main draw,Germany F15,linked,False
pbp_copy_2018,CH12,Jan Choinski,2015-10-11,ITFTour-GermanyF15,ITF main draw,,Mats Moraing,6-4 3-6 6-2,164,pbp_matches_fu_main_archive.csv,8307851,,CH12:atp:2015/2139/ms001:MJ71,ITF main draw,Germany F15,linked,False
pbp_copy_2018,CH12,Jan Choinski,2015-10-19,ITFTour-NorwayF1,ITF main draw,,Bartosz Wojnar,6-1 6-4,117,pbp_matches_fu_main_archive.csv,8348398,,CH12:atp:2015/7164/ms027:W642,ITF main draw,Norway F1,linked,False
pbp_copy_2018,CH12,Jan Choinski,2015-10-29,ITFTour-NorwayF2,ITF main draw,,Bjoern Petersen,4-6 6-4 6-2,159,pbp_matches_fu_main_archive.csv,8393149,,CH12:atp:2015/7188/ms006:PL54,ITF main draw,Norway F2,linked,False
pbp_copy_2018,CH12,Jan Choinski,2015-10-30,ITFTour-NorwayF2,ITF main draw,,Viktor Durasovic,6-1 7-5,116,pbp_matches_fu_main_archive.csv,8398163,,CH12:atp:2015/7188/ms003:DC76,ITF main draw,Norway F2,linked,False
pbp_copy_2018,CH12,Jan Choinski,2015-11-03,ITFTour-NorwayF3,ITF main draw,,Adrian Forberg Skogeng,6-2 6-2,123,pbp_matches_fu_main_archive.csv,8420039,,CH12:atp:2015/7432/ms027:F696,ITF main draw,Norway F3,linked,False
pbp_copy_2018,CH12,Jan Choinski,2015-11-04,ITFTour-NorwayF3,ITF main draw,,Jonathan Mridha,7-6(2) 6-4,153,pbp_matches_fu_main_archive.csv,8425127,,CH12:atp:2015/7432/ms013:MM78,ITF main draw,Norway F3,linked,False
pbp_copy_2018,H0A4,Nick Hardt,2015-12-01,ITFTour-DominicanRepublicF1,ITF main draw,,Jose Oscar Diaz,6-2 6-2,96,pbp_matches_fu_main_archive.csv,8545230,,H0A4:atp:2015/7197/ms017:DH11,ITF main draw,Dominican Republic F1,linked,False
