ref_id,code,player,event_name,event_type,event_date,round,opp_first,opp_last,score,level,year,sofa_status,sofa_id,sofa_ts,sofa_tournament,sofa_category,sofa_round,sofa_opponent,name_score,round_agree,place_agree,days_outside_window,first_to_serve,final_result_only,event_state,pbp_marker
CH12:atp:2014/2139/ms018:N824,CH12,Jan Choinski,Germany F15,FU,2014-10-06,R32,Pavel,Nejedly,7-5 6-2,ITF main draw,2014,unobserved,,,,,,,,,,,,,,False
CH12:atp:2014/2140/ms022:W655,CH12,Jan Choinski,Germany F16,FU,2014-10-13,R32,Matthias,Wunner,4-6 2-6,ITF main draw,2014,unobserved,,,,,,,,,,,,,,False
CH12:atp:2014/6668/ms025:MM56,CH12,Jan Choinski,Turkey F40,FU,2014-11-10,R32,Denys,Mylokostov,4-6 6-1 3-6,ITF main draw,2014,unobserved,,,,,,,,,,,,,,False
CH12:atp:2014/6676/ms002:RB00,CH12,Jan Choinski,Turkey F41,FU,2014-11-17,SF,Ricardo,Rodriguez - Pace,6-7(5) 6-7(4),ITF main draw,2014,linked,6440715,1416652800.0,"Turkey F41, Singles",ITF Men,absent,Ricardo Rodríguez-Pace,3.0,0.0,1.0,0.0,1,false,finished,True
CH12:atp:2014/6676/ms005:CH05,CH12,Jan Choinski,Turkey F41,FU,2014-11-17,QF,Altug,Celikbilek,6-2 1-6 6-4,ITF main draw,2014,linked,6438143,1416555000.0,"Turkey F41, Singles",ITF Men,absent,Altug Celikbilek,3.0,0.0,1.0,0.0,1,false,finished,True
CH12:atp:2014/6676/ms010:V600,CH12,Jan Choinski,Turkey F41,FU,2014-11-17,R16,Tucker,Vorster,6-4 7-6(7) 6-3,ITF main draw,2014,linked,6434495,1416470400.0,"Turkey F41, Singles",ITF Men,absent,Tucker Vorster,3.0,0.0,1.0,0.0,1,false,finished,True
CH12:atp:2014/6676/ms021:GJ37,CH12,Jan Choinski,Turkey F41,FU,2014-11-17,R32,Tallon,Griekspoor,6-3 6-4,ITF main draw,2014,unobserved,,,,,,,,,,,,,,False
CH12:atp:2014/6677/ms000:V600,CH12,Jan Choinski,Turkey F42,FU,2014-11-24,R32,Tucker,Vorster,1-6 1-6,ITF main draw,2014,linked,6458599,1416992400.0,"Turkey F42, Singles",ITF Men,absent,Tucker Vorster,3.0,0.0,1.0,0.0,2,false,finished,True
CH12:atp:2015/114/ms000:AE14,CH12,Jan Choinski,Germany F1,FU,2015-01-05,R32,Daniel,Altmaier,7-5 7-6(3),ITF main draw,2015,linked,6576346,1420534800.0,"Germany F1, Singles",ITF Men,absent,Daniel Altmaier,3.0,0.0,1.0,0.0,2,false,finished,True
CH12:atp:2015/114/ms000:I236,CH12,Jan Choinski,Germany F1,FU,2015-01-05,R16,Uladzimir,Ignatik,6-4 4-6 4-6,ITF main draw,2015,linked,6577366,1420729200.0,"Germany F1, Singles",ITF Men,absent,Uladzimir Ignatik,3.0,0.0,1.0,0.0,1,false,finished,True
