code,year,url,url_event,event_id,event_name,event_type,event_date,round,wl,opp_code,opp_first,opp_last,score,reason,is_bye,has_stats_atp,file,level,ref_id,ref_source,itf_confirmed,itf_key,draw,sources,in_sackmann,in_tml,in_tennis_data,in_otd,in_live_tennis_api,in_charting,in_slam_points,in_polymarket,box_sackmann,box_tml,slam_point_rows,score_states,closing_odds,market_prices,depth,depth_label,walkover,why_missing,player
CH12,2022,en/scores/match-stats/archive/2022/612/ms009,612,612,M25+H Kassel,FU,2022-07-11,R16,L,F664,Sebastian,Fanselow,3-6 2-6,,False,False,CH12_2022.txt,ITF main draw,CH12:atp:2022/612/ms009:F664,atp,False,,,sackmann,True,False,False,False,False,False,False,False,False,False,False,False,False,False,2,"Result, no statistics",False,,Jan Choinski
CH12,2022,en/scores/match-stats/archive/2022/612/ms018,612,612,M25+H Kassel,FU,2022-07-11,R32,W,F0FF,Philip,Florig,6-3 6-2,,False,False,CH12_2022.txt,ITF main draw,CH12:atp:2022/612/ms018:F0FF,atp,False,,,sackmann,True,False,False,False,False,False,False,False,False,False,False,False,False,False,2,"Result, no statistics",False,,Jan Choinski
CH12,2022,en/scores/match-stats/archive/2022/572/ms004,572,572,M25 Wetzlar,FU,2022-08-01,QF,L,H0A4,Nick,Hardt,3-6 4-6,,False,False,CH12_2022.txt,ITF main draw,CH12:atp:2022/572/ms004:H0A4,atp,False,,,sackmann,True,False,False,False,False,False,False,False,False,False,False,False,False,False,2,"Result, no statistics",False,,Jan Choinski
CH12,2022,en/scores/match-stats/archive/2022/572/ms009,572,572,M25 Wetzlar,FU,2022-08-01,R16,W,O0A2,Gauthier,Onclin,6-3 3-6 6-1,,False,False,CH12_2022.txt,ITF main draw,CH12:atp:2022/572/ms009:O0A2,atp,False,,,sackmann,True,False,False,False,False,False,False,False,False,False,False,False,False,False,2,"Result, no statistics",False,,Jan Choinski
CH12,2022,en/scores/match-stats/archive/2022/572/ms018,572,572,M25 Wetzlar,FU,2022-08-01,R32,W,S0GF,Maik,Steiner,6-0 7-6(1),,False,False,CH12_2022.txt,ITF main draw,CH12:atp:2022/572/ms018:S0GF,atp,False,,,sackmann,True,False,False,False,False,False,False,False,False,False,False,False,False,False,2,"Result, no statistics",False,,Jan Choinski
CH12,2022,en/scores/match-stats/archive/2022/551/ms001,551,551,M15 Frankfurt am Main,FU,2022-08-08,F,W,L0AT,Imanol,Lopez Morillo,6-3 7-6(4),,False,False,CH12_2022.txt,ITF main draw,CH12:atp:2022/551/ms001:L0AT,atp,False,,,sackmann,True,False,False,False,False,False,False,False,False,False,False,False,False,False,2,"Result, no statistics",False,,Jan Choinski
CH12,2022,en/scores/match-stats/archive/2022/551/ms003,551,551,M15 Frankfurt am Main,FU,2022-08-08,SF,W,W712,Kai,Wehnelt,6-4 7-6(3),,False,False,CH12_2022.txt,ITF main draw,CH12:atp:2022/551/ms003:W712,atp,False,,,sackmann,True,False,False,False,False,False,False,False,False,False,False,False,False,False,2,"Result, no statistics",False,,Jan Choinski
CH12,2022,en/scores/match-stats/archive/2022/551/ms006,551,551,M15 Frankfurt am Main,FU,2022-08-08,QF,W,P0CD,Daniel,Paty,6-1 6-3,,False,False,CH12_2022.txt,ITF main draw,CH12:atp:2022/551/ms006:P0CD,atp,False,,,sackmann,True,False,False,False,False,False,False,False,False,False,False,False,False,False,2,"Result, no statistics",False,,Jan Choinski
CH12,2022,en/scores/match-stats/archive/2022/551/ms012,551,551,M15 Frankfurt am Main,FU,2022-08-08,R16,W,SZ36,Niklas,Schell,,W/O,False,False,CH12_2022.txt,ITF main draw,CH12:atp:2022/551/ms012:SZ36,atp,False,,,sackmann,True,False,False,False,False,False,False,False,False,False,False,False,False,False,2,"Result, no statistics",True,,Jan Choinski
CH12,2022,en/scores/match-stats/archive/2022/551/ms024,551,551,M15 Frankfurt am Main,FU,2022-08-08,R32,W,BV18,Adam,Blecha,6-4 6-2,,False,False,CH12_2022.txt,ITF main draw,CH12:atp:2022/551/ms024:BV18,atp,False,,,sackmann,True,False,False,False,False,False,False,False,False,False,False,False,False,False,2,"Result, no statistics",False,,Jan Choinski
CH12,2022,en/scores/match-stats/archive/2022/1607/ms009,1607,1607,Banja Luka,CH,2022-08-22,R16,L,AC58,Nicolas,Alvarez,6-1 1-6 2-5,RET,False,True,CH12_2022.txt,Challenger main draw,CH12:atp:2022/1607/ms009:AC58,atp,False,,,"sackmann,tml",True,True,False,False,False,False,False,False,True,True,False,False,False,False,3,Result + serve/return totals,False,,Jan Choinski
CH12,2022,en/scores/match-stats/archive/2022/1607/ms019,1607,1607,Banja Luka,CH,2022-08-22,R32,W,GA79,Lorenzo,Giustino,6-2 7-6(5),,False,True,CH12_2022.txt,Challenger main draw,CH12:atp:2022/1607/ms019:GA79,atp,False,,,"sackmann,tml",True,True,False,False,False,False,False,False,True,True,False,False,False,False,3,Result + serve/return totals,False,,Jan Choinski
CH12,2022,en/scores/match-stats/archive/2022/448/ms005,448,448,Szczecin,CH,2022-09-12,QF,L,DB59,Dennis,Novak,1-6 3-6,,False,True,CH12_2022.txt,Challenger main draw,CH12:atp:2022/448/ms005:DB59,atp,False,,,"sackmann,tml",True,True,False,False,False,False,False,False,True,True,False,False,False,False,3,Result + serve/return totals,False,,Jan Choinski
CH12,2022,en/scores/match-stats/archive/2022/448/ms010,448,448,Szczecin,CH,2022-09-12,R16,W,T0AP,Chun-Hsin,Tseng,6-4 4-6 7-6(8),,False,True,CH12_2022.txt,Challenger main draw,CH12:atp:2022/448/ms010:T0AP,atp,False,,,"sackmann,tml",True,True,False,False,False,False,False,False,True,True,False,False,False,False,3,Result + serve/return totals,False,,Jan Choinski
CH12,2022,en/scores/match-stats/archive/2022/448/ms021,448,448,Szczecin,CH,2022-09-12,R32,W,J397,Jerzy,Janowicz,6-3 6-4,,False,True,CH12_2022.txt,Challenger main draw,CH12:atp:2022/448/ms021:J397,atp,False,,,"sackmann,tml",True,True,False,False,False,False,False,False,True,True,False,False,False,False,3,Result + serve/return totals,False,,Jan Choinski
CH12,2022,en/scores/match-stats/archive/2022/448/qs008,448,448,Szczecin,CH,2022-09-12,Q2,W,H0EH,Tim,Handel,7-5 3-6 7-5,,False,True,CH12_2022.txt,Challenger qualifying,CH12:atp:2022/448/qs008:H0EH,atp,False,,,sackmann,True,False,False,False,False,False,False,False,True,False,False,False,False,False,3,Result + serve/return totals,False,,Jan Choinski
CH12,2022,en/scores/match-stats/archive/2022/448/qs017,448,448,Szczecin,CH,2022-09-12,Q1,W,S0AR,Timo,Stodder,4-6 7-5 6-4,,False,True,CH12_2022.txt,Challenger qualifying,CH12:atp:2022/448/qs017:S0AR,atp,False,,,sackmann,True,False,False,False,False,False,False,False,True,False,False,False,False,False,3,Result + serve/return totals,False,,Jan Choinski
CH12,2022,en/scores/match-stats/archive/2022/6590/ms031,6590,6590,Sibiu,CH,2022-09-19,R32,L,M0JZ,Filip,Misolic,3-6 6-3 2-6,,False,True,CH12_2022.txt,Challenger main draw,CH12:atp:2022/6590/ms031:M0JZ,atp,False,,,"sackmann,tml",True,True,False,False,False,False,False,False,True,True,False,False,False,False,3,Result + serve/return totals,False,,Jan Choinski
CH12,2022,en/scores/match-stats/archive/2022/6307/ms001,6307,6307,Campinas,CH,2022-10-03,F,W,V836,Juan Pablo,Varillas,6-4 6-4,,False,False,CH12_2022.txt,Challenger main draw,CH12:atp:2022/6307/ms001:V836,atp,False,,,"sackmann,tml",True,True,False,False,False,False,False,False,True,True,False,False,False,False,3,Result + serve/return totals,False,,Jan Choinski
CH12,2022,en/scores/match-stats/archive/2022/6307/ms002,6307,6307,Campinas,CH,2022-10-03,SF,W,BU70,Remy,Bertola,6-4 6-4,,False,True,CH12_2022.txt,Challenger main draw,CH12:atp:2022/6307/ms002:BU70,atp,False,,,"sackmann,tml",True,True,False,False,False,False,False,False,True,True,False,False,False,False,3,Result + serve/return totals,False,,Jan Choinski
