code,source,source_file,source_row,date,date_kind,event_name,tourney_id,tourney_level,round,opp_name,opp_id,won,score,id_matches,name_matches,second_record,has_box,stat_fields,has_minutes,svpt_w,svpt_l,has_odds,lta_match_id,score_states,chart_id,slam,has_points,market_id,has_prices,ref_id,link,gap_days,date_disagrees,opp_disagrees,elsewhere,player
W09E,sackmann,atp_matches_qual_chall_2023.csv,2864,2023-09-25,tournament week,Charleston CH,2023-2803,C,R32,Skander Mansouri,109734,True,7-6(5) 6-2,True,True,False,True,18.0,True,54,62,,,,,,,,,W09E:atp:2023/2803/ms028:ML73,linked,0.0,False,False,,Adam Walton
W09E,sackmann,atp_matches_qual_chall_2023.csv,2878,2023-09-25,tournament week,Charleston CH,2023-2803,C,R16,Aziz Dougaz,144826,True,6-3 7-6(4),True,True,False,True,18.0,True,66,75,,,,,,,,,W09E:atp:2023/2803/ms014:DF88,linked,0.0,False,False,,Adam Walton
W09E,sackmann,atp_matches_qual_chall_2023.csv,3817,2023-04-10,tournament week,Leon CH,2023-2867,C,Q2,Mark Lajal,210136,True,7-5 6-3,True,True,False,True,18.0,True,47,61,,,,,,,,,W09E:atp:2023/2867/qs011:L0GH,linked,0.0,False,False,,Adam Walton
W09E,sackmann,atp_matches_qual_chall_2023.csv,3826,2023-04-10,tournament week,Leon CH,2023-2867,C,R32,Adolfo Daniel Vallejo,209226,True,6-4 6-3,True,True,False,True,18.0,True,51,63,,,,,,,,,W09E:atp:2023/2867/ms026:V0DP,linked,0.0,False,False,,Adam Walton
W09E,sackmann,atp_matches_qual_chall_2023.csv,3959,2023-06-05,tournament week,Tyler CH,2023-2873,C,Q1,Harrison Adams,106327,True,6-3 6-3,True,True,False,True,18.0,True,54,45,,,,,,,,,W09E:atp:2023/2873/qs018:AB54,linked,0.0,False,False,,Adam Walton
W09E,sackmann,atp_matches_qual_chall_2023.csv,3966,2023-06-05,tournament week,Tyler CH,2023-2873,C,Q2,Sasi Kumar Mukund,124154,True,6-4 6-3,True,True,False,True,18.0,True,46,58,,,,,,,,,W09E:atp:2023/2873/qs009:MP13,linked,0.0,False,False,,Adam Walton
W09E,sackmann,atp_matches_qual_chall_2023.csv,4021,2023-06-12,tournament week,Palmas Del Mar CH,2023-2875,C,R32,Marc Polmans,117360,True,7-6(1) 6-1,True,True,False,True,18.0,True,59,60,,,,,,,,,W09E:atp:2023/2875/ms027:PG94,linked,0.0,False,False,,Adam Walton
W09E,sackmann,atp_matches_qual_chall_2023.csv,4034,2023-06-12,tournament week,Palmas Del Mar CH,2023-2875,C,R16,Jose Rubin Statham,104907,True,6-2 6-0,True,True,False,True,18.0,True,34,51,,,,,,,,,W09E:atp:2023/2875/ms013:SF89,linked,0.0,False,False,,Adam Walton
W09E,sackmann,atp_matches_qual_chall_2023.csv,4254,2023-08-14,tournament week,Palo Alto CH,2023-2885,C,R32,Zachary Svajda,208260,True,6-2 6-2,True,True,False,True,18.0,True,42,46,,,,,,,,,W09E:atp:2023/2885/ms029:S0K7,linked,0.0,False,False,,Adam Walton
W09E,sackmann,atp_matches_qual_chall_2023.csv,4949,2023-01-30,tournament week,Burnie CH,2023-5018,C,R32,Yuki Mochizuki,200661,True,7-5 6-1,True,True,False,True,18.0,True,75,51,,,,,,,,,W09E:atp:2023/5018/ms022:M0B2,linked,0.0,False,False,,Adam Walton
W09E,sackmann,atp_matches_qual_chall_2023.csv,4960,2023-01-30,tournament week,Burnie CH,2023-5018,C,R16,Shuichi Sekiguchi,105810,True,6-3 6-2,True,True,False,True,18.0,True,43,61,,,,,,,,,W09E:atp:2023/5018/ms011:SL92,linked,0.0,False,False,,Adam Walton
W09E,sackmann,atp_matches_qual_chall_2023.csv,5454,2023-01-16,tournament week,Australian Open,2023-580,G,Q1,Pablo Andujar,104665,True,6-1 6-2,True,True,False,True,18.0,True,73,56,,,,,,,,,W09E:atp:2023/580/qs116:A596,linked,0.0,False,False,,Adam Walton
W09E,sackmann,atp_matches_qual_chall_2023.csv,6678,2023-09-11,tournament week,Cary CH,2023-7316,C,R32,Mitchell Krueger,106283,True,7-5 6-2,True,True,False,True,18.0,True,71,64,,,,,,,,,W09E:atp:2023/7316/ms020:KC12,linked,0.0,False,False,,Adam Walton
W09E,sackmann,atp_matches_qual_chall_2023.csv,8213,2023-09-18,tournament week,Columbus CH,2023-8281,C,R32,Giovanni Mpetshi Perricard,208659,True,7-5 6-4,True,True,False,True,18.0,True,58,84,,,,,,,,,W09E:atp:2023/8281/ms028:M0GZ,linked,0.0,False,False,,Adam Walton
